league,team,Team,City,Stadium, Capacity ,Latitude,Longitude,Country,geometry
laLiga1,Sp Gijon,Sporting de Gij神n,Gij神n,El Molin神n,30000,43.5361,-5.6372,Spain,POINT (-5.6372 43.5361)
laLiga1,Numancia,,,,"9,025",41.7544,-2.4678,,POINT (-2.4678 41.7544)
laLiga1,Xerez,,,,"20,523",36.6892,-6.1203,,POINT (-6.1203 36.6892)
laLiga1,Tenerife,,,,"23,660",28.4631,-16.2606,,POINT (-16.2606 28.4631)
laLiga1,Hercules,,,,"29,500",38.3572,-0.4925,,POINT (-0.4925 38.3572)
laLiga1,Granada,Granada ,Granada ,Nuevo Los C錐rmenes ,22524,37.153,-3.5957,Spain,POINT (-3.5957 37.153)
laLiga1,Vallecano,Rayo Vallecano ,Madrid ,Campo de Vallecas ,15489,40.3919,-3.659,Spain,POINT (-3.659 40.3919)
laLiga1,Elche,Elche ,Elche ,Mart神nez Valero ,36017,38.2669,-0.6633,Spain,POINT (-0.6633 38.2669)
laLiga1,Eibar,,,,"6,300",43.1817,-2.4758,,POINT (-2.4758 43.1817)
laLiga1,Cordoba,,,,"21,822",37.8723,-4.7646,,POINT (-4.7646 37.8723)
laLiga1,Las Palmas,,,,"32,150",28.1,-15.4567,,POINT (-15.4567 28.1)
laLiga1,Girona,,,,0,0,0,,POINT(0 0 )
laLiga1,Huesca,,,,0,0,0,,POINT(0 0 )
laLiga1,Leganes,,,,"10,954",40.3404,-3.7607,,POINT (-3.7607 40.3404)
Bundesliga1,Bayern Munich,Bayern Munich ,Munich ,Allianz Arena ,71000,48.2188,11.6248,Germany,POINT (11.6248 48.2188)
Bundesliga1,Duisburg,,,,"31,500",51.409033,6.778664,,POINT (6.778664 51.409033)
Bundesliga1,FC Koln,1. FC K神ln ,Cologne ,RheinEnergieStadion ,50000,50.9335,6.875,Germany,POINT (6.875 50.9335)
Bundesliga1,Hamburg,Hamburger SV ,Hamburg ,Imtech Arena ,57000,53.5872,9.8986,Germany,POINT (9.8986 53.5872)
Bundesliga1,Hannover,Hannover 96 ,Hanover ,HDI-Arena ,49000,52.3601,9.7312,Germany,POINT (9.731199999999999 52.3601)
Bundesliga1,Werder Bremen,Werder Bremen ,Bremen ,Weserstadion ,42100,53.0664,8.8376,Germany,POINT (8.8376 53.0664)
Bundesliga1,Wolfsburg,VfL Wolfsburg ,Wolfsburg ,Volkswagen Arena ,30000,52.4319,10.8039,Germany,POINT (10.8039 52.4319)
Bundesliga1,Ein Frankfurt,Eintracht Frankfurt ,Frankfurt ,Commerzbank-Arena ,51500,50.0686,8.6455,Germany,POINT (8.6455 50.0686)
Bundesliga1,Schalke 04,Schalke 04 ,Gelsenkirchen ,Veltins-Arena ,61673,51.5545,7.0676,Germany,POINT (7.0676 51.5545)
Bundesliga1,Nurnberg,1. FC N神rnberg ,Nuremberg ,Grundig-Stadion ,50000,49.4261,11.1258,Germany,POINT (11.1258 49.4261)
Bundesliga1,Bielefeld,,,,"27,300",52.031944,8.516667,,POINT (8.516667 52.031944)
Bundesliga1,Dortmund,Borussia Dortmund ,Dortmund ,Signal Iduna Park ,80645,51.4926,7.4518,Germany,POINT (7.4518 51.4926)
Bundesliga1,Hertha,Hertha BSC ,Berlin ,Olympiastadion ,74244,52.5147,13.2394,Germany,POINT (13.2394 52.5147)
Bundesliga1,Kaiserslautern,1. FC Kaiserslautern ,Kaiserslautern ,Fritz-Walter-Stadion ,49780,49.4347,7.7767,Germany,POINT (7.7767 49.4347)
Bundesliga1,Leverkusen,Bayer Leverkusen ,Leverkusen ,BayArena ,30210,51.0383,7.0022,Germany,POINT (7.0022 51.0383)
